xplane,yplane,xrocket,yrocket,vc,xnc,rtm,time
39999.99,11999.99,4433.802,1859.753,3949.06803660375,3292.20234265635,37033.3267503761,
39999.99,11999.99,4481.15,1879.094,3949.12188684876,3290.48746060876,36983.4835385907,
39999.99,11999.99,4526.873,1897.727,3949.17701119157,3288.73102144857,36932.6469834466,
39999.99,11999.99,4572.806,1916.438,3949.22993000334,3287.04392056679,36883.5698346889,
39999.99,11999.99,4619.541,1935.483,3949.28314722822,3285.34637885154,36834.2685201812,
39999.99,11999.99,4666.274,1954.515,3949.33746849462,3283.61265965119,36784.105827462,
39999.99,11999.99,4711.854,1973.042,3949.39180029504,3281.87763219514,36733.9482491267,
39999.99,11999.99,4759.347,1992.377,3949.44457319667,3280.1914543205,36685.0395434822,
39999.99,11999.99,4804.896,2010.87,3949.49996864887,3278.4204920196,36634.0710065036,
39999.99,11999.99,4851.707,2029.89,3949.55272318326,3276.73301450511,36585.2031982034,
39999.99,11999.99,5003.831,2099.146,3949.60720863095,3274.98920145352,36534.9780813855,
40018.34,11999.99,5010.68,2101.795,3949.90544307051,3265.42667338246,36387.4004237577,
40019.19,11999.99,5014.463,2103.252,3949.91450247521,3265.1357296967,36380.9057400324,
40019.67,11999.99,5035.337,2111.456,3949.91948528964,3264.97569439622,36377.3299699522,
40022.66,11999.99,5082.781,2130.662,3949.94942221772,3264.01402141885,36357.8836035001,
40031.2,11999.99,5128.399,2149.074,3950.02763089813,3261.50028174481,36315.2252571764,
40041.02,11999.99,5175.093,2167.928,3950.10676900582,3258.95457651805,36275.7716946416,
40052.75,11999.99,5221.552,2186.663,3950.1924589028,3256.19573503789,36237.0089216879,
40066.1,11999.99,5269.49,2206.008,3950.28207559782,3253.30781482267,36200.0529717737,
40081.64,11999.99,5313.713,2223.76,3950.37953767239,3250.16398803967,36163.6278472121,
40097.48,11999.99,5361.048,2242.807,3950.47266792536,3247.15687867439,36131.4972810441,
40116.16,11999.99,5406.764,2261.149,3950.57752610512,3243.7675475162,36098.7649500651,
40135.82,11999.99,5453.416,2279.862,3950.68264759697,3240.36593499899,36068.7156125829,
40157.55,11999.99,5500.209,2298.612,3950.79443608839,3236.74443081686,36039.6700797044,
40181.04,11999.99,5546.182,2316.992,3950.9109013185,3232.96684828124,36012.1692981079,
