xplane,yplane,xrocket,yrocket,vc,xnc,xnt,rtm,time,XNC (G)
37134.6,12000,3945.549,1727.311,3940.793898,3550.81905,-0.005330946,34794.50959,1.4235529,110.2738835
37101.8,12000,3990.59,1747.333,3940.846374,3552.050514,-0.007059726,34711.17237,1.4398705,110.3121278
37067.48,11999.99,4037.733,1768.346,3940.91578,3553.598706,-0.009134989,34629.4349,1.4574294,110.3602083
37033.46,11999.97,4084.465,1789.168,3941.019664,3555.040922,-0.011452695,34545.68657,1.4743087,110.4049976
37001.46,11999.97,4128.43,1808.693,3941.160258,3556.344956,-0.013862804,34464.31658,1.4897613,110.4454955
36967.08,11999.96,4175.686,1829.761,3941.32482,3558.059716,-0.016721056,34383.70072,1.5078031,110.4987489
36934.09,11999.96,4220.999,1849.914,3941.537609,3559.513968,-0.019705902,34300.81599,1.5239224,110.543912
36900.79,11999.95,4266.766,1870.276,3941.787463,3561.141029,-0.02297057,34219.75314,1.540776,110.5944419
36867.77,11999.92,4312.171,1890.46,3942.083132,3562.760038,-0.026454966,34138.46899,1.5570464,110.6447217
36833.05,11999.92,4359.853,1911.705,3942.421628,3564.62533,-0.030386291,34055.964,1.5747262,110.70265
36799.77,11999.91,4405.567,1932.016,3942.818705,3566.287557,-0.034403277,33972.34535,1.5910695,110.754272
36767.22,11999.9,4450.299,1951.853,3943.266241,3568.03174,-0.038571328,33891.57684,1.6076077,110.8084391
36733.32,11999.88,4496.869,1972.534,3943.763882,3570.019537,-0.043169944,33810.5966,1.6244342,110.8701719
36699.23,11999.87,4543.708,1993.322,3944.322826,3572.003464,-0.048055983,33727.43262,1.6413382,110.9317846
36666.02,11999.86,4589.361,2013.534,3944.944363,3573.953005,-0.053038444,33644.81867,1.6580709,110.9923294
36630.52,11999.84,4638.143,2035.185,3945.618827,3576.266182,-0.058363651,33561.32422,1.6758501,111.0641672
36598.61,11999.84,4682.034,2054.526,3946.364902,3578.120896,-0.063150598,33477.84099,1.6915999,111.121767
36564.92,11999.81,4728.362,2074.97,3947.153857,3580.468467,-0.068204015,33398.01411,1.7088449,111.1946729
36532.04,11999.78,4773.599,2094.873,3948.003316,3582.673822,-0.073136234,33316.30095,1.7250813,111.2631622
36499.47,11999.76,4818.422,2114.55,3948.90358,3584.97471,-0.078021848,33236.09222,1.7410635,111.3346183
36464.34,11999.74,4866.774,2135.824,3949.849817,3587.629074,-0.083293172,33153.89604,1.7591136,111.417052
36431.19,11999.7,4912.42,2155.801,3950.857721,3589.962628,-0.088265977,33069.7452,1.7757433,111.4895226
36395.24,11999.67,4961.907,2177.511,3951.90497,3592.799865,-0.093658361,32985.90428,1.7935304,111.5776356
36364.98,11999.66,5003.63,2195.602,3953.016849,3594.914383,-0.098198011,32903.30347,1.8084993,111.6433038
36331.64,11999.63,5049.586,2215.58,3954.151655,3597.795702,-0.103199367,32826.25819,1.8251182,111.7327858
36297.15,11999.6,5097.143,2236.239,3955.333213,3600.658046,-0.108374124,32743.50471,1.8427481,111.8216785
36264.12,11999.55,5142.713,2255.931,3956.56113,3603.345203,-0.113329154,32660.41291,1.8591002,111.9051305
36231.01,11999.51,5188.458,2275.645,3957.823074,3606.203333,-0.118301119,32579.43346,1.8755637,111.9938923
36197.1,11999.48,5235.269,2295.782,3959.1188,3609.204478,-0.123387426,32497.52161,1.8921454,112.0870956
36163.1,11999.44,5282.239,2315.926,3960.449386,3612.225345,-0.128488707,32414.37459,1.9093885,112.1809113
36130.08,11999.4,5327.906,2335.413,3961.812504,3615.191484,-0.133444998,32332.01028,1.926299,112.2730275
36096.13,11999.34,5374.857,2355.409,3963.199479,3618.372554,-0.138539002,32250.19336,1.9429077,112.3718184
36062.92,11999.3,5420.802,2374.878,3964.614072,3621.47613,-0.143520344,32167.71463,1.9599166,112.4682028
36029.26,11999.25,5467.408,2394.568,3966.047917,3624.730873,-0.148571103,32085.91658,1.9764161,112.5692818
35996.67,11999.2,5512.554,2413.53,3967.502491,3627.893688,-0.153459796,32004.44838,1.9927206,112.6675058
35963.39,11999.15,5558.686,2432.849,3968.968503,3631.246265,-0.158452894,31923.93383,2.0094963,112.7716231
35928.45,11999.08,5607.138,2453.11,3970.445249,3634.786903,-0.163695808,31840.77759,2.0272451,112.8815808
35894.98,11999.02,5653.591,2472.399,3971.936618,3638.114837,-0.168717736,31756.53635,2.0439322,112.9849328
35862.31,11998.96,5698.959,2491.124,3973.431592,3641.489024,-0.173618325,31675.26011,2.0600641,113.0897212
35827.64,11998.89,5747.182,2511.003,3974.923386,3645.175656,-0.178826111,31593.27144,2.0774233,113.2042129
35794.18,11998.82,5793.71,2530.048,3976.418095,3648.65173,-0.18384622,31509.37025,2.0940619,113.3121655
35761.17,11998.75,5839.633,2548.732,3977.905119,3652.189058,-0.188797052,31427.77673,2.1103846,113.4220204
35728.3,11998.67,5885.417,2567.258,3979.380688,3655.771256,-0.19372927,31346.98624,2.127039,113.5332688
35694.25,11998.59,5932.852,2586.386,3980.839599,3659.527138,-0.19883685,31265.2623,2.1442172,113.6499111
35660.79,11998.51,5979.519,2605.08,3982.282165,3663.184907,-0.203857518,31182.33548,2.1606962,113.7635064
35627.09,11998.41,6026.541,2623.815,3983.700759,3666.925877,-0.208912755,31100.04644,2.1778712,113.8796856
35593.41,11998.31,6073.579,2642.444,3985.092069,3670.68406,-0.213965753,31017.42542,2.1945746,113.9963994
35560.38,11998.22,6119.747,2660.594,3986.451868,3674.39329,-0.218920784,30935.44599,2.2109449,114.1115929
35527.68,11998.13,6165.488,2678.452,3987.774089,3678.115131,-0.223825712,30854.75916,2.2273819,114.227178
35493.2,11998.02,6213.774,2697.242,3989.052282,3682.076857,-0.229001309,30772.86259,2.2444725,114.350213
35460.53,11997.91,6259.565,2714.884,3990.287479,3685.756772,-0.233903577,30689.98128,2.2609515,114.464496
35425.97,11997.8,6308.012,2733.485,3991.467882,3689.752658,-0.239087851,30608.0331,2.2784572,114.5885919
35392.63,11997.67,6354.812,2751.286,3992.594428,3693.525769,-0.244090325,30524.4161,2.2951419,114.7057692
35359.4,11997.55,6401.49,2768.909,3993.65825,3697.348958,-0.249075446,30442.72605,2.3113419,114.8245018
35326.3,11997.41,6448.038,2786.347,3994.654756,3701.153854,-0.254042093,30361.32139,2.3280747,114.9426663
35290.88,11997.26,6497.861,2804.952,3995.577072,3705.238318,-0.259356243,30277.88883,2.3458511,115.069513
35258.46,11997.13,6543.557,2821.786,3996.424511,3708.871003,-0.264222684,30193.8409,2.3622405,115.1823293
35224.89,11996.98,6590.891,2839.121,3997.185939,3712.747838,-0.269260287,30113.17177,2.3789994,115.3027279
35192.3,11996.84,6636.885,2855.793,3997.858487,3716.449574,-0.27414982,30031.72366,2.3950086,115.4176886
35158.64,11996.69,6684.423,2872.916,3998.434726,3720.295813,-0.279199878,29950.73626,2.4115197,115.537137
35122.23,11996.51,6735.861,2891.384,3998.909334,3724.411479,-0.284662378,29865.51832,2.4301671,115.6649528
35091.91,11996.36,6778.798,2906.478,3999.278849,3727.676285,-0.289212105,29781.98288,2.4450963,115.7663443
35058.1,11996.19,6826.692,2923.279,3999.532958,3731.520505,-0.294285956,29704.23892,2.4622802,115.88573
35024.15,11996,6874.828,2940.013,3999.667879,3735.239748,-0.2993808,29621.12264,2.4794855,116.0012344
34990.58,11995.82,6922.469,2956.404,3999.677002,3738.872246,-0.304417983,29538.16344,2.4962262,116.1140449
34957.95,11995.64,6968.838,2972.172,3999.553828,3742.357365,-0.309315074,29456.67407,2.5119854,116.2222784
34924.62,11995.44,7016.279,2988.166,3999.292186,3745.89291,-0.314321187,29375.92235,2.5292462,116.3320779
34891,11995.24,7064.128,3004.142,3998.885612,3749.396547,-0.319365928,29293.80613,2.5456785,116.4408866
34856.81,11995,7112.822,3020.249,3998.327614,3752.897569,-0.3244952,29210.76547,2.5627864,116.5496139
34822.94,11994.77,7161.13,3036.048,3997.611132,3756.2883,-0.329578568,29127.17887,2.5799273,116.6549162
34790.8,11994.55,7207.03,3050.84,3996.728841,3759.400578,-0.334402323,29045.71647,2.5957322,116.7515707
34756.1,11994.32,7256.601,3066.724,3995.676955,3762.784068,-0.339609269,28964.41359,2.6135491,116.8566481
34722.8,11994.09,7304.229,3081.765,3994.445196,3765.882812,-0.344606006,28880.62215,2.6295621,116.9528823
34690.09,11993.86,7351.074,3096.366,3993.028009,3768.834543,-0.349514992,28799.49638,2.6462697,117.044551
34656.03,11993.59,7399.889,3111.445,3991.42025,3771.859177,-0.35462691,28717.95914,2.6632949,117.1384838
34622.36,11993.31,7448.195,3126.171,3989.612905,3774.73091,-0.359680188,28634.77486,2.6800963,117.227668
34588.72,11993.04,7496.494,3140.709,3987.599682,3777.499086,-0.364727728,28552.22579,2.6972983,117.3136362
34556.04,11992.78,7543.492,3154.646,3985.372731,3780.044008,-0.369633775,28470.64773,2.7135389,117.392671
34521.83,11992.5,7592.701,3169.098,3982.92861,3782.666984,-0.374767106,28389.05268,2.730281,117.4741299
34488.02,11992.21,7641.395,3183.196,3980.257015,3785.124008,-0.379841376,28305.57315,2.7475694,117.550435
34452.24,11991.9,7692.951,3197.99,3977.354408,3787.70921,-0.385211087,28220.82198,2.765328,117.6307208
34422.02,11991.64,7736.591,3210.171,3974.201148,3789.45881,-0.389746679,28138.4304,2.7805465,117.6850562
34387.75,11991.31,7786.087,3223.926,3970.80876,3791.516598,-0.394890367,28060.51543,2.7978213,117.7489627
34354.34,11991,7834.394,3237.127,3967.161532,3793.385829,-0.399904737,27977.37841,2.8142602,117.8070133
34320.95,11990.68,7882.718,3250.137,3963.253293,3795.08975,-0.404916309,27895.56536,2.8308218,117.8599301
34287.44,11990.35,7931.273,3263.015,3959.0778,3796.650058,-0.409947334,27813.67786,2.8480901,117.9083869
34255.21,11990.03,7978.024,3275.18,3954.625503,3797.879635,-0.414785504,27732.84299,2.8637163,117.9465725
34220.3,11989.65,8028.68,3288.245,3949.898761,3799.250676,-0.420026039,27651.38274,2.8815449,117.9891514
34185.58,11989.29,8079.104,3301.036,3944.884692,3800.508112,-0.425237743,27566.12945,2.8988505,118.0282022
34153.96,11988.95,8125.09,3312.412,3939.567221,3801.162292,-0.429983405,27484.14122,2.914333,118.0485184
34120.59,11988.59,8173.656,3324.279,3933.953499,3801.752487,-0.434992737,27405.14635,2.9308307,118.0668474
34087.61,11988.22,8221.708,3335.806,3928.034738,3802.160952,-0.439944409,27323.91799,2.9476987,118.0795327
34053.27,11987.82,8271.744,3347.644,3921.807622,3802.532175,-0.445097473,27242.01148,2.9657872,118.0910613
34019.11,11987.42,8321.602,3359.224,3915.262194,3802.732256,-0.450227725,27158.28167,2.9821094,118.097275
33986.39,11987.03,8369.376,3370.07,3908.386565,3802.514129,-0.455138111,27076.19761,2.9983444,118.0905009
33953.55,11986.63,8417.41,3380.775,3901.18,3802.018576,-0.460071309,26996.19982,3.0145957,118.0751111
33919.9,11986.21,8466.625,3391.56,3893.642229,3801.411835,-0.465122487,26915.24289,3.0313411,118.0562682
33885.72,11985.77,8516.645,3402.325,3885.767049,3800.687404,-0.470252739,26832.64908,3.0486341,118.0337703
33852.27,11985.33,8565.665,3412.644,3877.543269,3799.654938,-0.475276067,26749.98459,3.0656855,118.0017061
33818.46,11984.88,8615.221,3422.874,3868.968112,3798.380106,-0.480350617,26668.09172,3.0826333,117.9621151
33782.29,11984.39,8668.278,3433.686,3860.046858,3797.204393,-0.485782608,26583.46785,3.1003873,117.9256023
33752.27,11983.98,8712.371,3442.303,3850.742163,3795.079376,-0.49028769,26501.21357,3.1158278,117.859608
33719.21,11983.51,8760.957,3451.687,3841.071987,3792.654553,-0.495251398,26425.26111,3.1318631,117.7843029
33685.71,11983.03,8810.216,3461.004,3831.048497,3790.259493,-0.500280883,26344.39966,3.1491147,117.7099221
33651.94,11982.54,8859.914,3470.204,3820.6563,3787.66151,-0.505352215,26262.66662,3.1661007,117.6292394
33617.98,11982.03,8909.901,3479.251,3809.890346,3784.830073,-0.510449857,26180.39662,3.182659,117.5413066
33584.26,11981.51,8959.598,3488.029,3798.744634,3781.693359,-0.515514331,26098.12946,3.1999073,117.4438931
33551.82,11981.01,9007.43,3496.236,3787.209867,3778.061913,-0.520384551,26017.46215,3.215833,117.3311153
33517.16,11980.46,9058.562,3504.87,3775.298892,3774.324717,-0.525590097,25936.62918,3.2329133,117.2150533
33484.22,11979.92,9107.19,3512.825,3763.002784,3770.257488,-0.530536171,25854.19329,3.2495878,117.0887419
33450.81,11979.37,9156.529,3520.706,3750.313141,3765.774154,-0.535552221,25773.9081,3.2666293,116.9495079
33418.26,11978.82,9204.651,3528.168,3737.233402,3760.904699,-0.540440914,25693.79769,3.2826544,116.7982826
33383.32,11978.22,9256.302,3536.046,3723.77472,3755.965945,-0.545688026,25612.71947,3.3003421,116.6449051
33351.12,11977.66,9303.953,3543.039,3709.922586,3750.580441,-0.550523678,25530.78795,3.3161181,116.4776535
33316.78,11977.05,9354.775,3550.362,3695.676401,3744.860325,-0.55568094,25450.90225,3.3334932,116.3000101
33283.22,11976.44,9404.481,3557.303,3681.049805,3738.95504,-0.560721762,25368.66524,3.350073,116.1166162
33249.62,11975.82,9454.277,3564.063,3666.027341,3732.626882,-0.565769582,25287.58465,3.3674043,115.9200895
33215.95,11975.16,9504.179,3570.645,3650.61662,3725.970942,-0.570825939,25206.42563,3.3842042,115.7133833
33183.64,11974.53,9552.121,3576.745,3634.81076,3718.79545,-0.575680483,25126.52463,3.4000604,115.4905419
33149.39,11973.87,9602.922,3583.076,3618.625088,3711.386707,-0.58082459,25046.81478,3.4176072,115.2604568
33114.93,11973.17,9654.066,3589.27,3602.075115,3703.920767,-0.586001866,24964.14196,3.4344314,115.0285952
33082.88,11972.53,9701.679,3594.79,3585.128673,3695.798743,-0.590817364,24883.48984,3.4504103,114.7763585
33049.7,11971.85,9750.951,3600.357,3567.794169,3687.153107,-0.595800385,24805.34789,3.4670997,114.5078605
33015.24,11971.12,9802.142,3606.002,3550.111388,3678.506107,-0.600977101,24724.42024,3.4846218,114.2393201
32982.36,11970.41,9851.042,3611.179,3532.061672,3669.473911,-0.605919116,24643.16974,3.5009393,113.9588171
32949.68,11969.71,9899.632,3616.151,3513.63292,3659.836871,-0.610828243,24564.4489,3.517193,113.6595301
32914.88,11968.95,9951.365,3621.34,3494.865463,3650.131081,-0.616055902,24484.09566,3.5349078,113.3581081
32881.33,11968.21,10001.27,3626.149,3475.760727,3640.22634,-0.621095744,24401.91716,3.5513732,113.0505074
32847.46,11967.44,10051.66,3630.857,3456.299061,3629.828497,-0.62618457,24321.30443,3.5684727,112.7275931
32814.67,11966.69,10100.46,3635.237,3436.495794,3618.982463,-0.63111077,24241.3068,3.585232,112.3907597
32781.85,11965.93,10149.32,3639.477,3416.352607,3607.625817,-0.636041169,24162.90004,3.6021565,112.0380688
32748.94,11965.15,10198.33,3643.593,3395.894184,3595.954512,-0.640986123,24084.42923,3.617813,111.675606
32714.31,11964.32,10249.89,3647.834,3375.143965,3584.218571,-0.64618999,24004.24385,3.6354723,111.3111358
