xplane,yplane,xrocket,yrocket,vc,xnc,xnt,rtm,time,theta,he,lamda,xlead,vm1,vm2,vt1,vt2,rtm1,rtm2,rtm,vtm1,vtm2
33452.4780273438,12278.7628173828,18116.3519366029,7682.89398224338,3876.26220157156,3391.97429088495,1.72533515515174,16069.357408745,5.4651854,0.433101816232167,0,0.291687723421611,0.141414092810556,2723.00496729143,1259.0647116436,-989.523541874573,144.371604119369,15390.5861888694,4621.05012880946,16069.357408745,-3712.52850916601,-1114.69310752423
33432.6934814453,12281.6703796387,18170.8042587648,7708.09208634355,3875.70517928233,3391.49964026465,1.73133515501763,15991.8436295352,5.4818413,0.433410512521647,0,0.29168882249644,0.141721690025207,2722.61616895071,1259.90523316961,-989.377621644412,145.368228266176,15316.3415448424,4598.77639739529,15991.8436295352,-3711.99379059512,-1114.53700490344
33412.9119873047,12284.5985412598,18225.2487748393,7733.30705230598,3875.14505279361,3391.02277036235,1.73733515488352,15914.3413102869,5.4988573,0.433720197585038,0,0.29168996464771,0.142030232937328,2722.22586456891,1260.7483263015,-989.230186723589,146.368157994876,15242.1077285399,4576.50645491622,15914.3413102869,-3711.4560512925,-1114.38016830662
33393.1304931641,12287.5457763672,18279.6854560122,7758.53892861247,3874.58183311505,3390.54322686536,1.74333515474941,15836.8471034114,5.5150867,0.434030817680126,0,0.291691109983127,0.142339707697,2721.83411948344,1261.59384352326,-989.081226791491,147.371390739991,15167.8817183248,4554.23872406121,15836.8471034114,-3710.91534627494,-1114.22245278327
33373.3520507813,12290.5204772949,18334.1142586124,7783.78779564787,3874.01525832659,3390.06602114172,1.7493351546153,15759.3663588244,5.5321662,0.434342959383604,0,0.291692709422978,0.142650249960626,2721.44019084095,1262.44337998801,-988.930731495525,148.377923909609,15093.6665947691,4531.98154868245,15759.3663588244,-3710.37092233648,-1114.06545607841
33353.5766601563,12293.5073852539,18388.5351696204,7809.05366757275,3873.44583486056,3389.58077661955,1.75533515448119,15681.8947072178,5.548767,0.434655406495714,0,0.291693832066677,0.142961574429037,2721.04561122124,1263.29362448071,-988.778690451184,149.387754885204,15019.4624015438,4509.71958960603,15681.8947072178,-3709.82430167243,-1113.9058695955
33333.8043212891,12296.5141296387,18442.9481608689,7834.33659110745,3872.87329626961,3389.09260780145,1.76133515434708,15604.4343509921,5.5673487,0.434968757562313,0,0.2916949379733,0.143273819589012,2720.64962323484,1264.14620499059,-988.625093242109,150.400881021461,14945.2691516686,4487.46046206592,15604.4343509921,-3709.27471647695,-1113.74532396913
33314.0411376953,12299.5429992676,18497.3532033806,7859.63661459296,3872.2976178347,3388.60177751342,1.76733515421297,15526.9918075875,5.582438,0.435283042797676,0,0.29169605162462,0.143586991173055,2720.25218638745,1265.00120255054,-988.469929420154,151.417299646096,14871.0929768264,4465.20640816013,15526.9918075875,-3708.7221158076,-1113.58390290445
33294.2718505859,12302.5924682617,18551.750262034,7884.95379944686,3871.71868408374,3388.11034517702,1.77333515407886,15449.5520378315,5.5995436,0.435598503033497,0,0.291697359031207,0.14390114400229,2719.85299346323,1265.85927098913,-988.313188505452,152.437008059679,14796.9186472053,4442.95585366876,15449.5520378315,-3708.16618196868,-1113.42226292945
33274.5086669922,12305.6617736816,18606.1393108596,7910.28818728072,3871.13663921689,3387.61521369486,1.77933515394474,15372.1265296715,5.6159424,0.435914774664404,0,0.291698582734618,0.144216191929786,2719.45250206339,1266.71942000633,-988.154859986479,153.460003535455,14722.7584049582,4420.70797423478,15372.1265296715,-3707.60736204987,-1113.25941647088
33254.7485351563,12308.7501525879,18660.5203237173,7935.6398199626,3870.55146944868,3387.1164322184,1.78533515381063,15294.712153761,5.6328837,0.436231862797186,0,0.291699727971912,0.144532134825274,2719.05070366095,1267.58166242687,-987.994933320121,154.486283319164,14648.6092242967,4398.46196530717,15294.712153761,-3707.04563698108,-1113.09537910771
33234.9914550781,12311.8583679199,18714.8932730248,7961.00874234166,3869.96313924594,3386.61447726001,1.79133515367652,15217.3091424981,5.6490423,0.436549822652431,0,0.291700838432266,0.144848984220165,2718.64752613992,1268.44614730516,-987.833397931742,155.515844628863,14574.4711313608,4376.21854795732,15217.3091424981,-3706.48092407166,-1112.9303026763
33215.2374267578,12314.9841308594,18769.2581361202,7986.3949886116,3869.3717216795,3386.10768692549,1.79733515354241,15139.9168511758,5.6662496,0.436868458651077,0,0.29170176542733,0.145166693223747,2718.24321553124,1269.31234186799,-987.67024321525,156.548684654741,14500.3441537331,4353.97538851771,15139.9168511758,-3705.91345874649,-1112.76365721325
33195.4895019531,12318.138885498,18823.6148683669,8011.79863989496,3868.77682983915,3385.60342986441,1.8033351534083,15062.5415056276,5.6829297,0.437188634476846,0,0.291703172929825,0.14548546154702,2717.83667308393,1270.18259255907,-987.505458533166,157.584800558944,14426.2313658329,4331.74389688645,15062.5415056276,-3705.3421316171,-1112.59779200012
33175.7415771484,12321.3172912598,18877.9634324808,8037.21976138537,3868.17857739516,3385.09921740698,1.80933515327419,14985.1757437602,5.7001981,0.437510057764859,0,0.29170483813655,0.145805219628308,2717.42826643185,1271.05610293063,-987.339033216694,158.62418947539,14352.1267087815,4309.5186513648,14985.1757437602,-3704.76729964854,-1112.43191345524
33155.9967041016,12324.5109558105,18932.303811016,8062.65837572897,3867.57729314161,3384.58838654881,1.81533515314008,14907.8200918614,5.7160311,0.437831946130281,0,0.2917061621109,0.146125784019381,2717.01898748833,1271.93074560995,-987.17095656579,159.666848509589,14278.0332716208,4287.29119442518,14907.8200918614,-3704.18994405412,-1112.26389710036
33136.2579345703,12327.725982666,18986.635975672,8088.11452867594,3866.97278005393,3384.07456997246,1.82133515300597,14830.4792382371,5.7331702,0.438154725053182,0,0.291707472696964,0.146447252356218,2716.6082935214,1272.80767579817,-987.001217849231,160.712774738457,14203.9541235544,4265.06760693705,14830.4792382371,-3703.60951137063,-1112.09490105971
